LAST MODIFIED: 3/30/2017,,
FOR NEWEST VERSION, CONTACT SALES@QUANTQUOTE.COM,
LOOKUP VIA CUSIP ALSO AVAILBLE,,
SYMBOL,QUANTQUOTE PERMTICK,COMPANY NAME
a,a.1,ASTRA AB
a,a,AGILENT TECHNOLOGIES INC
aa,aa,ALCOA INC
aaa,aaa,ALTANA A G
aaab,aaab,ADMIRALTY BANCORP INC
aab,aab,ASTRA AB
aabc,aabc,ACCESS ANYTIME BANCORP
aac,aac.1,ARCADIA FINANCIAL LTD
aac,aac.2,AUSTRALIA ACQUISITION CORP
aacb,aacb,ALLIANCE ATLANTIS COMMS INC
aacc,aacc,ASSET ACCEPTANCE CAPITAL CORP
aace,aace,ACE CASH EXPRESS INC
aadr,aadr,ADVISORSHARES TRUST
aadv,aadv,ADVANTAGE BANCORP INC
aaf,aaf,AMERICAN GOVERNMENT INC PORT INC
aafg,aafg,ALL AMERICAN FOOD GROUP INC
aagiy,aagiy,ANGLO AMERICAN GOLD INVT LTD
aah,aah,AMBASSADOR APARTMENTS INC
aai,aai.1,AQUA ALLIANCE INC
aai,aai,AIRTRAN HOLDINGS INC
aaii,aaii,ALABAMA AIRCRAFT INDUSTRIES INC
aaiie,aaiie,AAIPHARMA INC
aait,aait,iShares MSCI AC Asia Information Tech (AAIT)
aala,aala,AMERALIA INC
aam,aam,AAMES FINANCIAL CORP
aame,aame,ATLANTIC AMERICAN CORP
aan,aan.1,AARONS INC
aan,aan,AARONS INC
aanb,aanb,ABIGAIL ADAMS NATL BANCORP INC
aaon,aaon,AAON INC
aap,aap.1,AMWAY ASIA PACIFIC LTD
aap,aap,ADVANCE AUTO PARTS INC
aapl,aapl,APPLE INC
aasi,aasi,ADVANCED AERODYNAMICS STRUC INC
aasp,aasp,ALL AMERICAN SPORTPARK INC
aat,aat.1,ALL AMERICAN TERM TRUST INC
aat,aat,AMERICAN ASSETS TRUST INC
aati,aati.1,ANALYSIS & TECHNOLOGY INC
aati,aati,ADVANCED ANALOGIC TCHNLGS INC
aatt,aatt,AAVID THERMAL TECHNOLOGIES INC
aau,aau,ALMADEN MINERALS LTD
aauk,aauk,ANGLO AMERICAN P L C
aav,aav.1,AVATEX CORP
aav,aav,ADVANTAGE OIL & GAS LTD
aaww,aaww,ATLAS AIR WORLDWIDE HOLDINGS INC
